id_str,created_at,text
830197424232726528,2017-02-10 23:31:04,"Quora limits anonymous usage, Steam kills Greenlight, Amazon launching bra line, and more in the news:… https://t.co/2icyc1wwUY"
830189638698561537,2017-02-10 23:00:08,"Need to cut through some PVC pipe, ABS pipe, or nylon rope? Try some mason's line: https://t.co/ebMDQmj738 https://t.co/Hxfh0rLrMb"
830182123676004352,2017-02-10 22:30:16,Make your own Raspberry Pi laptop with a few off the shelf parts and this 3D printed case: https://t.co/69mt2oK4pU https://t.co/6JnW2GgOEI
830182099395235840,2017-02-10 22:30:11,Google now lets you add smart home devices to Assistant without a Google Home. https://t.co/iKO7mYNO78 https://t.co/xvUl5zp803
830173454225797120,2017-02-10 21:55:50,The hardest part of investing your money is doing nothing: https://t.co/6NtMsHVuFa https://t.co/yNQnkn1Qz7
830167057471778823,2017-02-10 21:30:24,WhatsApp now has two-step verification. Here's how to turn it on: https://t.co/I4NRV0yBY9 https://t.co/pXHLs3Dyo3
830159777913327619,2017-02-10 21:01:29,"If your Kindle feels a bit sluggish and turning pages is slow, it's time to reboot: https://t.co/h3HGhFVKzZ https://t.co/SiZFQMgeq3"
830152549713973248,2017-02-10 20:32:45,YouTube Go is a super lightweight app from Google aimed at downloading videos and saving your data:… https://t.co/xCLGhDZ0nG
830144392245690373,2017-02-10 20:00:21,"If your sex life sets you up for injuries, make sure you've got a doctor you can trust. https://t.co/6RSA25BK11 https://t.co/pHD8Zqszu5"
830139380257939456,2017-02-10 19:40:26,RT @SkilletLH: Make this tasty Mediterranean spice blend and use it on everything:https://t.co/QonwwQxLnJ https://t.co/qXiE9m3zKj
830127967804223489,2017-02-10 18:55:05,Answer the “tell me about yourself” interview question with this formula: https://t.co/H6iWJnmHJ9 https://t.co/rzSZ2V3Pdg
830121714789003264,2017-02-10 18:30:14,Get to the airport extra early in a winter storm for dibs on a new flight: https://t.co/dX6lcbd5fM https://t.co/YTWbq7i9uY
830121696292134912,2017-02-10 18:30:09,Google now lets you add smart home devices to Assistant without a Google Home. https://t.co/qS4V7pEuEy https://t.co/tDwDbqTBoX
830117570355351552,2017-02-10 18:13:46,"We are getting ready for Valentine's Day, talking about bells on bicycles and more! https://t.co/7l2IOI9uiw https://t.co/cGBIn78Wia"
830114407799726081,2017-02-10 18:01:12,"This week's top posts: How to contact Congress, getting ready for Valentine's Day, life hacking failure stories :… https://t.co/heK7Z7ZjvN"
830108013071650821,2017-02-10 17:35:47,RT @TwoCentsLH: Why you shouldn't budget your bonus or tax refund: https://t.co/TVyZJoxmFO https://t.co/KV8AGaKwXF
830107774013038594,2017-02-10 17:34:50,"I'm Luis von Ahn, CEO of Duolingo, and this is how I work: https://t.co/6tnyoD90SJ https://t.co/R0qaYtKZKe"
830099783545192448,2017-02-10 17:03:05,The hardest part of investing your money is doing nothing: https://t.co/T9kZsNGVFJ https://t.co/ihpESxdAYg
830096326931132416,2017-02-10 16:49:21,"RT @KinjaDeals: Cookbooks, charging cables, SodaStream, and the rest of Friday's best deals from around the web. https://t.co/RO1h0gNVAS ht…"
830091601053626368,2017-02-10 16:30:34,YouTube Go is a super lightweight app from Google aimed at downloading videos and saving your data:… https://t.co/MHgjj0VwHe
830084176330293248,2017-02-10 16:01:04,A solo traveler's guide on how to meet people while traveling: https://t.co/tD9A3YIyQ7 https://t.co/aHZAeOmGCF
830076441299656704,2017-02-10 15:30:20,Answer the “tell me about yourself” interview question with this formula: https://t.co/2JqSTNgDfF https://t.co/jAJJZkGXFS
830070343402397697,2017-02-10 15:06:06,Have a family trip coming up? Pack “outfit rolls” for your kids to make things easier: https://t.co/dPgsaSf0yp https://t.co/Jtg4UbyB3W
830061697742282752,2017-02-10 14:31:45,RT @SkilletLH: A guide to eggs that aren't hen eggs:https://t.co/rfLRNzezCX https://t.co/Eh2siR7pEr
830056524689059840,2017-02-10 14:11:11,RT @TwoCentsLH: Research suggests high school students shouldn't work more than fifteen hours a week: https://t.co/Cw5qaBw7cT https://t.co/…
830051421122916352,2017-02-10 13:50:55,RT @KinjaDeals: Your favorite rechargeable batteries have never been cheaper. https://t.co/ONUWROyvXz https://t.co/hOj2KS22T6
830046445235494913,2017-02-10 13:31:08,Google now lets you add smart home devices to Assistant without a Google Home. https://t.co/RwvgzCTs47 https://t.co/VWdTvL8zni
830039122639253505,2017-02-10 13:02:02,The hardest part of investing your money is doing nothing: https://t.co/vPlthuDOPC https://t.co/vGOjg6Moc4
830032343431860225,2017-02-10 12:35:06,YouTube Go is a super lightweight app from Google aimed at downloading videos and saving your data:… https://t.co/uYWWzEGnVZ
830023835722321921,2017-02-10 12:01:18,"RT @SkilletLH: Can you sous vide your way to the juicy, cheese-filled burger of your dreams?https://t.co/KZeko4wWem https://t.co/ExWsWEjoZi"
829978542079373312,2017-02-10 09:01:19,The Bedroom Jams playlist will be your wingman or wingwoman this Valentine's Day: https://t.co/6HEu2ckRU8 https://t.co/6qZIoDAyLE
829918128792539136,2017-02-10 05:01:15,The Bedroom Jams playlist will be your wingman or wingwoman this Valentine's Day: https://t.co/slwppem7Zg https://t.co/I8yJ5vtErJ
829910474493935616,2017-02-10 04:30:50,"Enhanced History adds better search, filters, and tags to your Chrome browser history: https://t.co/KVHua4pwSq https://t.co/HsdwTCJrIe"
829876669276123136,2017-02-10 02:16:30,"This AutoHotkey script lets you name your virtual Windows desktops, see which one you're currently on:… https://t.co/ONzRLeWMFz"
829870846487441408,2017-02-10 01:53:22,"Give yourself an ""anxiety routine"" to run through any time you start to feel anxious or fearful:… https://t.co/DFqwARb1yh"
829864995311722497,2017-02-10 01:30:07,"Enhanced History adds better search, filters, and tags to your Chrome browser history: https://t.co/gPKJBbA1dq https://t.co/117TtRWgeq"
829857679979974656,2017-02-10 01:01:03,The Bedroom Jams playlist will be your wingman or wingwoman this Valentine's Day: https://t.co/GD3ShBmNGa https://t.co/CIa5T6s7XJ
829849175118508036,2017-02-10 00:27:15,Don't waste money on Intel's top processor—for most people the i7 just isn’t worth it https://t.co/p6h6QVw57N https://t.co/fDu6TudP1K
829842406312968192,2017-02-10 00:00:22,Fresh snow outside? Make instant ice cream with just four ingredients: https://t.co/vfQrjTLjIN https://t.co/uSYENInu8H
829835045758189568,2017-02-09 23:31:07,"Amazon Tap now touch-free despite its name, Facebook gets weather forecasts, and more in the news:… https://t.co/XsIlOCNxOQ"
829827267152982016,2017-02-09 23:00:12,Scientists have discovered the ideal dance moves for women. Here's what they look like: https://t.co/qBoDsQQZD5 https://t.co/occBYHMKDA
829819734740832256,2017-02-09 22:30:16,Today is #NationalPizzaDay! Here are some of the pizza deals and freebies you can get over the next week:… https://t.co/Nz8idO89xS
829819689928949760,2017-02-09 22:30:06,"This AutoHotkey script lets you name your virtual Windows desktops, see which one you're currently on:… https://t.co/RrHtMgaORy"
829812385623994368,2017-02-09 22:01:04,Early retirement isn't necessarily the right goal for everyone: https://t.co/6Aj14BGCnb https://t.co/vNHNci604X
829812125593788416,2017-02-09 22:00:02,"Give yourself an ""anxiety routine"" to run through any time you start to feel anxious or fearful:… https://t.co/9erpKZRFg8"
829804656209559553,2017-02-09 21:30:21,Want to make your own iPhone and Apple Watch dock? Here's one made from a block of wood: https://t.co/lnvwEN0U8x https://t.co/KVK8fqp7wD
829804593051738113,2017-02-09 21:30:06,"Enhanced History adds better search, filters, and tags to your Chrome browser history: https://t.co/zJPKkFOkco https://t.co/NyyMOIBmQw"
829797092650524676,2017-02-09 21:00:18,"ReadKit, one of the better RSS readers on Mac, gets some interface improvements that makes it easier to use:… https://t.co/MRAJ9gdeJh"
829785896887132161,2017-02-09 20:15:49,Reusable swim diapers make SO much more sense than disposables. https://t.co/npJOW1ZrKa https://t.co/n3JKFOt0oa
829780468480503810,2017-02-09 19:54:14,What I learned from doing pushups every day for a month: https://t.co/EvOKkJTF1y
829774894858657792,2017-02-09 19:32:06,This video shows you ten ways you can turn a single light bulb into a beautiful lamp: https://t.co/maXfSvza1X https://t.co/5wZ7x2Kjqk
829768246941343744,2017-02-09 19:05:41,How to get through to your member of Congress when their phones are getting slammed: https://t.co/uGxdYBNkYh https://t.co/kI6zcAgFfU
829767126353321985,2017-02-09 19:01:13,RT @SkilletLH: It's not impossible to peel a frozen banana:https://t.co/cPCFWdM3md https://t.co/B0Fom0QlKZ
829760488208736256,2017-02-09 18:34:51,"We're live from Union Square, wandering in the snow: https://t.co/gpocWkTq8g https://t.co/EEqyqffXgh"
829759366031089664,2017-02-09 18:30:23,"When creating systems for your work, follow the 10% rule of thumb: https://t.co/LQAyRh7BBj https://t.co/EYDQRmD21L"
829752873667928065,2017-02-09 18:04:35,"Three myths about SNAP (aka food stamps), debunked. https://t.co/3B3lXl2bga https://t.co/ArdrrNFIvB"
829750304308596740,2017-02-09 17:54:23,"This AutoHotkey script lets you name your virtual Windows desktops, see which one you're currently on:… https://t.co/eX9hEztt9J"
829744695198756866,2017-02-09 17:32:05,This DIY gym bench is a great addition to any home gym. https://t.co/IEnPrbfbxM https://t.co/jCIOdf7caW
829737561690144768,2017-02-09 17:03:45,"RT @KinjaDeals: Anker flashlights, smarter coffee, Arduino starter kit, and the rest of Thursday's best deals. https://t.co/INjhUOFud4 http…"
829737111372832768,2017-02-09 17:01:57,"Give yourself an ""anxiety routine"" to run through any time you start to feel anxious or fearful:… https://t.co/UtDud7vhpe"
829730446103699457,2017-02-09 16:35:28,"Enhanced History adds better search, filters, and tags to your Chrome browser history: https://t.co/nBdr2q9g1Z https://t.co/IUN184dqB4"
829721561548595202,2017-02-09 16:00:10,We've updated our Raspberry Pi retro game console guide with new details and a brand new video guide:… https://t.co/xbTmNrnX4N
829714047012573184,2017-02-09 15:30:18,Credit Karma now offers free tax filing: https://t.co/kDaQydMiqP https://t.co/MljUDnhyau
829706954968805377,2017-02-09 15:02:07,Have an old sweater hanging around? Turn it into a cute dog sweater: https://t.co/pIuXKT2W8I https://t.co/YxySE1NuEH
829699495734702081,2017-02-09 14:32:29,RT @SkilletLH: Crack open tough pistachios with a garlic press:https://t.co/czjg3Vqktt https://t.co/9st0yFtTLm
829693106308132864,2017-02-09 14:07:06,Thieves can break into your luggage with a ballpoint pen. Here's what you can do about it. https://t.co/9YfD7rNFma https://t.co/8dYPhmgLnK
829689285536313344,2017-02-09 13:51:55,RT @KinjaDeals: Feed your tinkering impulses with this $30 Arduino starter kit. https://t.co/nfQ75GWiVz https://t.co/z7R2B3b7nl
829685731299831809,2017-02-09 13:37:47,"This AutoHotkey script lets you name your virtual Windows desktops, see which one you're currently on:… https://t.co/7qrrTXBMxX"
829677488674578433,2017-02-09 13:05:02,"Give yourself an ""anxiety routine"" to run through any time you start to feel anxious or fearful:… https://t.co/YUIsx4beLl"
829669692419796992,2017-02-09 12:34:03,"Enhanced History gives you adds betters search, filters, and tags to your Chrome browser history:… https://t.co/5y38VIAJw5"
829669233193803776,2017-02-09 12:32:14,"I'm Luis von Ahn, CEO of Duolingo, and this is how I work: https://t.co/1OPMegEbXU"
829661264955707392,2017-02-09 12:00:34,What is the @CFPB and what does it do for consumers? Here's a rundown:  https://t.co/UKkuSb3Lkw https://t.co/AynH75uEok
829631433375379456,2017-02-09 10:02:02,Google Home has some powerful third-party services. Here are some of the best ones to make your home smarter:… https://t.co/gpqqo6ur0I
829570699593400320,2017-02-09 06:00:42,Google Home has some powerful third-party services. Here are some of the best ones to make your home smarter:… https://t.co/h8DILq0ces
829543804847939584,2017-02-09 04:13:49,"If you wouldn't buy the stuff in your basement again today, go ahead and sell it (or donate or toss it):… https://t.co/PBMgdqoUs4"
829535714153005056,2017-02-09 03:41:40,"Steam Cleaner removes all the junk files that games from Steam, Uplay, and GoG left behind: https://t.co/5c6Ljt1xrI https://t.co/eMUwHtPvJu"
829527935698739201,2017-02-09 03:10:46,"If you wouldn't buy the stuff in your basement again today, go ahead and sell it (or donate or toss it):… https://t.co/5X5QSEmc2A"
829520075900153856,2017-02-09 02:39:32,Just start dating someone? Here's how you should approach Valentine's Day when you're in a new relationship:… https://t.co/BT8qwSlj5R
829511991857446913,2017-02-09 02:07:25,Google Home has some powerful third-party services. Here are some of the best ones to make your home smarter:… https://t.co/2MJQCEODxR
829504382030970880,2017-02-09 01:37:10,"If you wouldn't buy the stuff in your basement again today, go ahead and sell it (or donate or toss it):… https://t.co/9d23VIjELV"
829496817796673539,2017-02-09 01:07:07,"Steam Cleaner removes all the junk files that games from Steam, Uplay, and GoG left behind: https://t.co/JtRROdKxut https://t.co/w0bjx23r4Q"
829489081918828546,2017-02-09 00:36:22,"If you wouldn't buy the stuff in your basement again today, go ahead and sell it (or donate or toss it):… https://t.co/kqDsA2s3qh"
829480959930224640,2017-02-09 00:04:06,Have a long flight soon? Here’s why you should pack instant oatmeal: https://t.co/okr6wut2SV https://t.co/9pl0BpNiH2
829472661612924928,2017-02-08 23:31:08,"Facebook Safety Check now connects people with help, Windows 10 getting floating video player, and more in the news… https://t.co/GXlkBz1ads"
829465764788891648,2017-02-08 23:03:43,RT @KinjaDeals: Save $20 on Philips' entry-level wake-up light. https://t.co/sJZqWk1qm7 https://t.co/Pn8Wpo0FsJ
829464893166407680,2017-02-08 23:00:15,Google Home has some powerful third-party services. Here are some of the best ones to make your home smarter:… https://t.co/I45SPtmEOZ
829464860769546241,2017-02-08 23:00:08,Learn the basic dos and don'ts of running your first marathon with this visual guide: https://t.co/ipRqmv2JPT https://t.co/9q1OKk9S0h
829457326893588485,2017-02-08 22:30:11,Looking for motivation? You need an imaginary scapegoat to push you in the right direction: https://t.co/gQK71vwZUZ https://t.co/yLFhLoBaqS
829450013185024000,2017-02-08 22:01:08,"I'm Luis von Ahn (@LuisvonAhn), CEO of Duolingo, and this is how I work: https://t.co/f5JwfixZTF https://t.co/GwB6fVZPAc"
829447893522247681,2017-02-08 21:52:42,"Yes, there is a better way to eat a freshly picked strawberry. You've been doing it backwards all along:… https://t.co/t1bzpPe6Hk"
829440891416895488,2017-02-08 21:24:53,How you and your car can survive 2017's first big winter storm: https://t.co/hfbT0zJiJB https://t.co/V9WTknKY73
829434693581934592,2017-02-08 21:00:15,This DIY cake knife is made with scrap wood: https://t.co/Tn1C3G6D7l https://t.co/v5RtdHRkdy
829427744324907009,2017-02-08 20:32:38,RT @SkilletLH: Four easy and romantic meals to impress your Valentine: https://t.co/rTQsVqNj6k https://t.co/4T6rgXAejg
829427093926768643,2017-02-08 20:30:03,Build your own little DIY smart doorbell that'll snap a photo of whoever's out there: https://t.co/SenqAbS9hA https://t.co/peIS8JDLHo
829419664149270530,2017-02-08 20:00:32,Reusable swim diapers make SO much more sense than disposables. https://t.co/dEzkeFbF8a https://t.co/QJ05eIIHZv
829412001856237569,2017-02-08 19:30:05,Looking for books to expand your programming knowledge? Here are some of the most recommended books:… https://t.co/mWX8G873Sz
829404622133612544,2017-02-08 19:00:46,RT @SkilletLH: Pair chocolate and cheese for a truly decadent Valentine's Day:https://t.co/slUWcQ9jV5 https://t.co/DFHgEmrDtr
829400648793849856,2017-02-08 18:44:58,How to make a small DIY photography studio with household objects: https://t.co/HbhBEmdKNd https://t.co/EJR1X92nwm
829397991224201216,2017-02-08 18:34:25,"Steam Cleaner removes all the junk files that games from Steam, Uplay, and GoG left behind: https://t.co/WoC1Td9xnE https://t.co/M60dC6QQDP"
829389614406389761,2017-02-08 18:01:08,Google Home has some powerful third-party services. Here are some of the best ones to make your home smarter:… https://t.co/9o4Ql5CBqE
829381873545703424,2017-02-08 17:30:22,"For less boring conversations, embrace your vulnerabilities: https://t.co/a60VmrOIZ2 https://t.co/U11WmdyXws"
829375616067760129,2017-02-08 17:05:30,"Steam Cleaner removes all the junk files that games from Steam, Uplay, and GoG left behind: https://t.co/ivXQplF3fd https://t.co/xw89sEpxbi"
829372042197741568,2017-02-08 16:51:18,"RT @KinjaDeals: Find string lights, Airbnb gift cards, a $55 dash cam, and more in our (slightly tidier) daily deal post. https://t.co/q9TY…"
829367611263688704,2017-02-08 16:33:42,"For the best reheated pizza, put your slice on the stove top in a pan: https://t.co/dBKY7AnjNH https://t.co/sX5WCa0v5T"
